Monitored/close contacts,Discharged after being monitored,Followed up,Daty,Faritra,Tilytot,Tilyvao,Tilyvaotomb,Itot,Ivao,Rtot,Rvao,Matot,Matvao,Tsyvoatomb,Tsyvoa,Tahaketv,Tahaketvtstomb
,,,2020-04-30,Mombasa,,,,,7,,,,,,,,
,,,2020-04-30,Nairobi,,,,,3,,,,,,,,
,,,2020-04-30,Kenya,20000,,568,396,12,,15,,2,556,,0.9789,
,,,2020-05-01,Kilifi,,,,,,,6,,,,,,
,,,2020-05-01,Mombasa,,,,,11,,,,,,,,
,,,2020-05-01,Wajir,,,,,1,,,,,,,,
,,,2020-05-01,Eastleigh,,,,11,,,,,,,,,
,,,2020-05-01,Kawangware,,,,13,,,,,,,,,
,,,2020-05-01,Nairobi,,,,,,,,,,,,,
,,,2020-05-01,Kenya,21702,,1135,411,15,,6,,,1120,,0.9868,
,,,2020-05-02,Migori,,,,,2,,,,,,,,
,,,2020-05-02,Mombasa,,,,129,,,,,,,,,
,,,2020-05-02,Old Town,,100,,,,,,,,,100,,
,,,2020-05-02,Kawangware,,,,20,7,,,,,,,,
,,,2020-05-02,Nairobi,,,,,,,,,,,,,
,,,2020-05-02,Kenya,,1195,1195,435,24,,2,,1,1171,1171,0.9799,0.9799
,,,2020-05-03,Bungoma,,,,,2,,,,,,,,
,,,2020-05-03,Mombasa,,,,,19,,,,,,,,
,,,2020-05-03,Eastleigh,,494,,,,,,,,,,,
,,,2020-05-03,Kawangware,,803,,,,,,,,,,,
,,,2020-05-03,Nairobi,,,,,8,,,,,,,,
,,,2020-05-03,Kenya,,883,883,465,30,,,,,853,853,0.966,0.966
,,,2020-05-04,Mombasa,,,,,10,,,,,,,,
,,,2020-05-04,Nairobi,,,,,15,,,,,,,,
,,,2020-05-04,Kenya,,,555,490,25,173,6,,,530,,0.955,
,,,2020-05-05,Nairobi,,,,,29,,,,,,,,
,,,2020-05-05,Kenya,,,555,535,45,182,9,,,510,,0.9189,
,,,2020-05-06,Mombasa,,,,,,,,,,,,,
,,,2020-05-06,Nairobi,,,,,,,,,,,,,
,,,2020-05-06,Kenya,,,555,582,47,,,26,2,508,,0.9153,
,,,2020-05-06,Mombasa,,,,,,,,,2,,,,
,,,2020-05-07,Kenya,,,555,607,25,197,7,29,3,530,,0.955,
,,,2020-05-07,Kajiado,,,,,2,,,,,,,,
,,,2020-05-07,Wajir,,,,,2,,,,,,,,
,,,2020-05-07,Nairobi,,,,,17,,,,,,,,
,,,2020-05-07,Mombasa,,,,,1,,,,,,,,
,,,2020-05-07,Migori,,,,,1,,,,,,,,
,,,2020-05-07,Nakuru,,,,,1,,,,,,,,
,,,2020-05-07,Isiolo,,,,,1,,,,,,,,
,,,2020-05-08,Mandera,,400,,,,,,,,,,,
,,,2020-05-08,Mombasa,,,,,,,,,,,,,
,,,2020-05-08,Nairobi,,,,,,,,,,,,,
,,,2020-05-08,Kenya,,,555,621,14,,,,,541,,0.9748,
,,,2020-05-09,Homa Bay,,,,,1,,,,,,,,
,,,2020-05-09,Migori,,,,,4,,,,,,,,
,,,2020-05-09,Kiambu,,,,,1,,,,,,,,
,,,2020-05-09,Machakos,,,,,1,,,,,,,,
,,,2020-05-09,Kajiado,,,,,2,,,,,,,,
,,,2020-05-09,Mombasa,,,,,10,,,,,,,,
,,,2020-05-09,Nairobi,,,,,9,,,,,,,,
,,,2020-05-09,Kenya,31041,,555,649,28,,5,,1,527,,0.9495,
53,,,2020-05-10,Isiolo,,,,,,,,,,,,,
,,,2020-05-10,Saina Estate,,,,,1,,,,,,,,
,,,2020-05-10,Kajiado,,,,,1,,,,,,,,
,,,2020-05-10,Mandera West,,,,,1,,,,,,,,
,,,2020-05-10,Mandera North,,,,,1,,,,,,,,
,,,2020-05-10,Elwak,,,,,1,,,,,,,,
,,,2020-05-10,Mandera East,,,,,3,,,,,,,,
,,,2020-05-10,Mandera,,,,,6,,,,,,,,
,,,2020-05-10,Mvita,,,,,8,,,,,,,,
,,,2020-05-10,Likoni,,,,,2,,,,,,,,
,,,2020-05-10,Kisauni,,,,,2,,,,,,,,
,,,2020-05-10,Mombasa,,,,,12,,,,2,,,,
,,,2020-05-10,Pipeline,,,,,1,,,,,,,,
,,,2020-05-10,Komarock,,,,,1,,,,,,,,
,,,2020-05-10,Umoja,,,,,3,,,,,,,,
,,,2020-05-10,Nairobi,,,,,5,,,,,,,,
,,,2020-05-10,Kenya,,,555,672,23,,,32,,532,,0.9586,
,,,2020-05-11,Eldas,,,,,1,,,,,,,,
,,,2020-05-11,Wajir,,,,,1,,,,,,,,
,,,2020-05-11,Kajiado,,,,,9,,,,,,,,
,,,2020-05-11,Likoni,,,,,1,,,,,,,,
,,,2020-05-11,Nyali,,,,,3,,,,,,,,
,,,2020-05-11,Kisauni,,,,,2,,,,,,,,
,,,2020-05-11,Changamwe,,,,,2,,,,,,,,
,,,2020-05-11,Mvita,,,,,3,,,,,,,,
,,,2020-05-11,Mombasa,,,,,10,,,,,,,,
,,,2020-05-11,Pumwani,,,,,1,,,,,,,,
,,,2020-05-11,Kibra,,,,,1,,,,,,,,
,,,2020-05-11,Embakasi East,,,,,2,,,,,,,,
,,,2020-05-11,KNH,,,,,3,,,,,,,,
,,,2020-05-11,Nairobi,,,,,7,,,,1,,,,
,,,2020-05-11,Kenya,,,555,700,28,251,12,33,1,527,,0.9495,
,,,2020-05-12,,,,,,,,,,,,,,
,,,2020-05-13,,,,,,,,,,,,,,
,,,2020-05-14,,,,,,,,,,,,,,
