Loharano,Faritra,Daty,MRC Rt,Tily Genexpert,Tily ara-potoana,Tilytot tvm,Tilyvoatomb,Tily,Voa,Voatomb,Voavao tvm,Tsyvoa,Tsyvoatomb,Tilym,Voareh ilain,Voareh tomb,Voareh tvm,Sitranreh ilain,Sitranvao tvm,Sitranreh tvm,,Fahasarotana,Nodimandry vao,Nodimandry reh,Tahatsv,Tahasitr,MRC Rt,
FB-TVM,Antananarivo,2020-8-01,,,,,,,,324,324,,-324,,,,,,26,,,,,,,,,
FB-TVM,Vakinakaratra,2020-8-01,,,,,,,,,,,0,,,,,,7,,,,,,,,,
FB-TVM,Alaotra,2020-8-01,,,,,,,,,,,0,,,,,,9,,,,,,,,,
FB-TVM,Moramanga,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ambatondrazaka,2020-8-01,,,,,,,,,,,0,,,,,,9,,,,,,,,,
FB-TVM,Itasy,2020-8-01,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Soavinandriana,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Miarinarivo,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Arivonimamo,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-8-01,,,,,,,,2,2,,-2,,,,,,5,,,,,,,,,
FB-TVM,Sainte Marie,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Soanerana Ivongo,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Fenoarivo Atsinanana,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Analanjirofo,2020-8-01,,,,,,,,,,,0,,,,,,1,,,,,,,,,
FB-TVM,Amboharoy,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Matsiatra,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Fianarantsoa,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ambositra,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Mania,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ihosy,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Morondava,2020-8-01,,,,,,,,2,2,,-2,,,,,,,,,,,,,,,
FB-TVM,Ifanadiana,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Vatovavy,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Sofia,2020-8-01,,,,,,,,8,8,,-8,,,,,,,,,,,,,,,
FB-TVM,Port-Berger,2020-8-01,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Mandritsara,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Antsohihy,2020-8-01,,,,,,,,2,2,,-2,,,,,,,,,,,,,,,
FB-TVM,Mampikony,2020-8-01,,,,,,,,5,5,,-5,,,,,,,,,,,,,,,
FB-TVM,Bongolava,2020-8-01,,,,,,,,3,3,,-3,,,,,,14,,,,,,,,,
FB-TVM,Atsimoandrefana,2020-8-01,,,,,,,,4,4,,-4,,,,,,,,,,,,,,,
FB-TVM,Toliara,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Boeny,2020-8-01,,,,,,,,,,,0,,,,,,7,,,,,,,,,
FB-TVM,Mahajanga,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ambatoboeny,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Betsiboka,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Maevatanana,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Diana,2020-8-01,,,,,,,,16,16,,-16,,,,,,,,,,,,,,,
FB-TVM,Atsiranana,2020-8-01,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Ambanja,2020-8-01,,,,,,,,11,11,,-11,,,,,,,,,,,,,,,
FB-TVM,Ambilobe,2020-8-01,,,,,,,,3,3,,-3,,,,,,,,,,,,,,,
FB-TVM,Nosy Be Hellville,2020-8-01,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Sava,2020-8-01,,,,,,,,3,3,,-3,,,,,,,,,,,,,,,
FB-TVM,Sambava,2020-8-01,,,,,,,,2,2,,-2,,,,,,,,,,,,,,,
FB-TVM,Vohemar,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Andapa,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Antalaha,2020-8-01,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Taolagnaro,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Anosy,2020-8-01,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-8-02,,2896,,43435,1056,1056,,255,255,,801,,,11528,11528,,335,8444,,,7,114,0.7585,0.7325,,
FB-TVM,Antananarivo,2020-8-02,,,,,,,,225,225,,-225,,,,,,13,,,,,,,,,
FB-TVM,Vakinakaratra,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ambatondrazaka,2020-8-02,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Moramanga,2020-8-02,,,,,,,,6,6,,-6,,,,,,,,,,,,,,,
FB-TVM,Alaotra,2020-8-02,,,,,,,,7,7,,-7,,,,,,1,,,,,,,,,
FB-TVM,Itasy,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-8-02,,,,,,,,2,2,,-2,,,,,,5,,,,,,,,,
FB-TVM,Sainte Marie,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Fenoarivo Atsinanana,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Soanerana Ivongo,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Vavatenina,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Analanjirofo,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Matsiatra,2020-8-02,,,,,,,,,,,0,,,,,,4,,,,,,,,,
FB-TVM,Ambositra,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ihosy,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Vatovavy,2020-8-02,,,,,,,,1,1,,-1,,,,,,1,,,,,,,,,
FB-TVM,Vohipeno,2020-8-02,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Mananjary,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Farafangana,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Menabe,2020-8-02,,,,,,,,2,2,,-2,,,,,,,,,,,,,,,
FB-TVM,Morondava,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Manakara,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Atsimoatsinanana,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Vaingandrano,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ifanadiana,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Sofia,2020-8-02,,,,,,,,2,2,,-2,,,,,,1,,,,,,,,,
FB-TVM,Mandritsara,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Port-Berger,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Bongolava,2020-8-02,,,,,,,,,,,0,,,,,,4,,,,,,,,,
FB-TVM,Tsiroanomandidy,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Atsimoandrefana,2020-8-02,,,,,,,,4,4,,-4,,,,,,2,,,,,,,,,
FB-TVM,Mahajanga,2020-8-02,,,,,,,,12,12,,-12,,,,,,8,,,,,,,,,
FB-TVM,Maevatanana,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Kandreho,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Betsiboka,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Diana,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Atsiranana,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ambanja,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ambilobe,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Nosy Be Hellville,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Sava,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Taolagnaro,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ihorombe,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Anosy,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ambovombe,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Tsihombe,2020-8-02,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-8-03,,2918,,44033,625,625,,132,132,,493,,,11660,11660,,381,8825,,,4,118,0.7888,0.7569,,
FB-TVM,Antananarivo,2020-8-03,,,,,,,,118,118,,-118,,,,,,333,,,,,,,,,
FB-TVM,Vakinakaratra,2020-8-03,,,,,,,,,,,0,,,,,,9,,,,,,,,,
FB-TVM,Alaotra,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Moramanga,2020-8-03,,,,,,,,,,,0,,,,,,1,,,,,,,,,
FB-TVM,Ambatondrazaka,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Itasy,2020-8-03,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Soavinandriana,2020-8-03,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Miarinarivo,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Arivonimamo,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-8-03,,,,,,,,1,1,,-1,,,,,,3,,,,,,,,,
FB-TVM,Sainte Marie,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Soanerana Ivongo,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Fenoarivo Atsinanana,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Analanjirofo,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Amboharoy,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Matsiatra,2020-8-03,,,,,,,,,,,0,,,,,,22,,,,,,,,,
FB-TVM,Fianarantsoa,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ambositra,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Mania,2020-8-03,,,,,,,,4,4,,-4,,,,,,,,,,,,,,,
FB-TVM,Ambositra,2020-8-03,,,,,,,,4,4,,-4,,,,,,,,,,,,,,,
FB-TVM,Ihosy,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Morondava,2020-8-03,,,,,,,,2,2,,-2,,,,,,,,,,,,,,,
FB-TVM,Morondava,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ifanadiana,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Vatovavy,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Sofia,2020-8-03,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Analalava,2020-8-03,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Port-Berger,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Mandritsara,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Antsohihy,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Mampikony,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Bongolava,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Atsimoandrefana,2020-8-03,,,,,,,,2,2,,-2,,,,,,7,,,,,,,,,
FB-TVM,Toliara,2020-8-03,,,,,,,,2,2,,-2,,,,,,,,,,,,,,,
FB-TVM,Boeny,2020-8-03,,,,,,,,3,3,,-3,,,,,,,,,,,,,,,
FB-TVM,Mahajanga,2020-8-03,,,,,,,,3,3,,-3,,,,,,,,,,,,,,,
FB-TVM,Ambatoboeny,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Betsiboka,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Maevatanana,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Diana,2020-8-03,,,,,,,,,,,0,,,,,,2,,,,,,,,,
FB-TVM,Atsiranana,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ambanja,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ambilobe,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Nosy Be Hellville,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Sava,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Sambava,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Vohemar,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Andapa,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Antalaha,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Taolagnaro,2020-8-03,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Anosy,2020-8-03,,,,,,,,,,,0,,,,,,3,,,,,,,,,
FB-TVM,Androy,2020-8-03,,,,,,,,,,,0,,,,,,1,,,,,,,,,
FB-TVM,Madagasikara,2020-8-04,,3033,,44805,887,887,,235,235,,652,,,11895,11895,,461,9286,,,5,123,0.7351,0.7807,,
FB-TVM,Antananarivo,2020-8-04,,,,,,,,185,185,,-185,,,,,,25,,,,,,,,,
FB-TVM,Vakinakaratra,2020-8-04,,,,,,,,1,1,,-1,,,,,,4,,,,,,,,,
FB-TVM,Ambatolampy,2020-8-04,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Alaotra,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Moramanga,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ambatondrazaka,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Itasy,2020-8-04,,,,,,,,1,1,,-1,,,,,,3,,,,,,,,,
FB-TVM,Soavinandriana,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Miarinarivo,2020-8-04,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Arivonimamo,2020-8-04,,,,,,,,,,,0,,,,,,3,,,,,,,,,
FB-TVM,Toamasina,2020-8-04,,,,,,,,1,1,,-1,,,,,,3,,,,,,,,,
FB-TVM,Sainte Marie,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Soanerana Ivongo,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Fenoarivo Atsinanana,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Analanjirofo,2020-8-04,,,,,,,,,,,0,,,,,,2,,,,,,,,,
FB-TVM,Amboharoy,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Matsiatra,2020-8-04,,,,,,,,16,16,,-16,,,,,,1,,,,,,,,,
FB-TVM,Fianarantsoa,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ambositra,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Mania,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ihosy,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Morondava,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Atsimoatsinanana,2020-8-04,,,,,,,,,,,0,,,,,,2,,,,,,,,,
FB-TVM,Ifanadiana,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Vatovavy,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Sofia,2020-8-04,,,,,,,,3,3,,-3,,,,,,1,,,,,,,,,
FB-TVM,Port-Berger,2020-8-04,,,,,,,,1,1,,-1,,,,,,1,,,,,,,,,
FB-TVM,Mandritsara,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Antsohihy,2020-8-04,,,,,,,,2,2,,-2,,,,,,,,,,,,,,,
FB-TVM,Mampikony,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Bongolava,2020-8-04,,,,,,,,17,17,,-17,,,,,,8,,,,,,,,,
FB-TVM,Tsiroanomandidy,2020-8-04,,,,,,,,17,17,,-17,,,,,,,,,,,,,,,
FB-TVM,Atsimoandrefana,2020-8-04,,,,,,,,3,3,,-3,,,,,,,,,,,,,,,
FB-TVM,Toliara,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Boeny,2020-8-04,,,,,,,,2,2,,-2,,,,,,11,,,,,,,,,
FB-TVM,Mahajanga,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ambatoboeny,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Betsiboka,2020-8-04,,,,,,,,,,,0,,,,,,5,,,,,,,,,
FB-TVM,Maevatanana,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Diana,2020-8-04,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Atsiranana,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ambanja,2020-8-04,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Ambilobe,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Nosy Be Hellville,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Sava,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Sambava,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Vohemar,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Andapa,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Antalaha,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Taolagnaro,2020-8-04,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Anosy,2020-8-04,,,,,,,,2,2,,-2,,,,,,,,,,,,,,,
FB-TVM,Androy,2020-8-04,,,,,,,,,,,0,,,,,,1,,,,,,,,,
FB-TVM,Madagasikara,2020-8-05,,3178,,45634,974,974,,327,327,,647,,,12222,12222,,512,9798,,,5,127,0.6643,0.8017,,
FB-TVM,Antananarivo,2020-8-05,,,,,,,,272,272,,-272,,,,,,24,,,,3,,,,,
FB-TVM,Vakinakaratra,2020-8-05,,,,,,,,1,1,,-1,,,,,,7,,,,0,,,,,
FB-TVM,Ambatondrazaka,2020-8-05,,,,,,,,,,,0,,,,,,29,,,,,,,,,
FB-TVM,Moramanga,2020-8-05,,,,,,,,,,,0,,,,,,3,,,,,,,,,
FB-TVM,Alaotra,2020-8-05,,,,,,,,0,0,,0,,,,,,34,,,,0,,,,,
FB-TVM,Itasy,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-8-05,,,,,17,17,,0,0,,17,,,,,,1,,,,0,,,,,
FB-TVM,Sainte Marie,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Fenoarivo Atsinanana,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Soanerana Ivongo,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Vavatenina,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Analanjirofo,2020-8-05,,,,,,,,1,1,,-1,,,,,,6,,,,0,,,,,
FB-TVM,Matsiatra,2020-8-05,,,,,,,,15,15,,-15,,,,,,2,,,,0,,,,,
FB-TVM,Ambositra,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ihosy,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Vatovavy,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Mananjary,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Farafangana,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Atsimoatsinanana,2020-8-05,,,,,,,,1,1,,-1,,,,,,0,,,,0,,,,,
FB-TVM,Morondava,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Manakara,2020-8-05,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Atsimoatsinanana,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Vaingandrano,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ifanadiana,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Sofia,2020-8-05,,,,,,,,0,0,,0,,,,,,5,,,,0,,,,,
FB-TVM,Mandritsara,2020-8-05,,,,,,,,,,,0,,,,,,1,,,,0,,,,,
FB-TVM,Port-Berger,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Antsohihy,2020-8-05,,,,,,,,,,,0,,,,,,4,,,,0,,,,,
FB-TVM,Bongolava,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Tsiroanomandidy,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Atsimoandrefana,2020-8-05,,,,,20,20,,9,9,,11,,,,,,1,,,,0,,,,,
FB-TVM,Boeny,2020-8-05,,,,,,,,23,23,,-23,,,,,,25,,,,1,,,,,
FB-TVM,Mahajanga,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Maevatanana,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Kandreho,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Betsiboka,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Diana,2020-8-05,,,,,,,,0,0,,0,,,,,,1,,,,0,,,,,
FB-TVM,Atsiranana,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ambanja,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ambilobe,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Nosy Be Hellville,2020-8-05,,,,,,,,,,,0,,,,,,1,,,,,,,,,
FB-TVM,Sava,2020-8-05,,,,,,,,4,4,,-4,,,,,,0,,,,0,,,,,
FB-TVM,Taolagnaro,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ihorombe,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Anosy,2020-8-05,,,,,,,,1,1,,-1,,,,,,0,,,,0,,,,,
FB-TVM,Ambovombe,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Tsihombe,2020-8-05,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-8-06,,3323,,46301,812,812,,304,304,,508,,,12526,12526,,350,10148,,,7,134,0.6256,0.8102,,
FB-TVM,Antananarivo,2020-8-06,,,,,,,,242,242,,-242,,,,,,16,,,,4,,,,,
FB-TVM,Vakinakaratra,2020-8-06,,,,,,,,0,0,,0,,,,,,1,,,,0,,,,,
FB-TVM,Alaotra,2020-8-06,,,,,,,,26,26,,-26,,,,,,0,,,,0,,,,,
FB-TVM,Moramanga,2020-8-06,,,,,,,,10,10,,-10,,,,,,,,,,,,,,,
FB-TVM,Amparafaravola,2020-8-06,,,,,,,,4,4,,-4,,,,,,,,,,,,,,,
FB-TVM,Ambatondrazaka,2020-8-06,,,,,,,,12,12,,-12,,,,,,,,,,,,,,,
FB-TVM,Itasy,2020-8-06,,,,,,,,3,3,,-3,,,,,,0,,,,0,,,,,
FB-TVM,Soavinandriana,2020-8-06,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Miarinarivo,2020-8-06,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Arivonimamo,2020-8-06,,,,,,,,2,2,,-2,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-8-06,,,,,,,,1,1,,-1,,,,,,2,,,,0,,,,,
FB-TVM,Sainte Marie,2020-8-06,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Soanerana Ivongo,2020-8-06,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Fenoarivo Atsinanana,2020-8-06,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Analanjirofo,2020-8-06,,,,,,,,1,1,,-1,,,,,,0,,,,0,,,,,
FB-TVM,Amboharoy,2020-8-06,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Matsiatra,2020-8-06,,,,,,,,9,9,,-9,,,,,,0,,,,0,,,,,
FB-TVM,Fianarantsoa,2020-8-06,,,,,,,,9,9,,-9,,,,,,,,,,,,,,,
FB-TVM,Ambositra,2020-8-06,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Mania,2020-8-06,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Ihosy,2020-8-06,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Menabe,2020-8-06,,,,,,,,3,3,,-3,,,,,,0,,,,0,,,,,
FB-TVM,Morondava,2020-8-06,,,,,,,,3,3,,-3,,,,,,,,,,,,,,,
FB-TVM,Ifanadiana,2020-8-06,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Vatovavy,2020-8-06,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Sofia,2020-8-06,,,,,,,,0,0,,0,,,,,,3,,,,0,,,,,
